Table 11 : Unemployment Rate by Sex and Age,,,,,,,,
,,,,,,,,
,,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate
,,(%),(%),(%),(%),(%),(%),(%)
Age group,,15 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 and over,Aged 15 and over
Year/Period,Sex,,,,,,,
1982,Male,10.6,4.3,2.4,3.0,4.3,2.7,4.0
1982,Female,7.7,3.3,2.1,1.9,1.6,1.3,3.1
1982,Both sexes,9.2,3.9,2.3,2.7,3.6,2.3,3.6
1983,Male,11.6,5.6,3.2,3.9,5.5,4.3,5.0
1983,Female,10.4,3.5,2.4,2.1,2.1,1.6,3.5
1983,Both sexes,11.1,4.7,3.0,3.4,4.6,3.4,4.5
1984,Male,11.9,4.5,2.5,3.3,4.8,3.3,4.2
1984,Female,11.0,3.7,1.8,1.9,1.4,1.6,3.3
1984,Both sexes,11.5,4.1,2.3,2.9,3.8,2.8,3.9
1985,Male,10.6,4.0,2.1,2.7,3.5,3.0,3.5
1985,Female,11.2,2.8,1.2,1.4,1.2,0.9,2.6
1985,Both sexes,10.9,3.5,1.8,2.3,2.9,2.3,3.2
1986,Male,10.8,3.4,1.9,1.8,3.2,2.3,3.0
1986,Female,9.7,3.0,1.2,0.9,1.4,0.9,2.5
1986,Both sexes,10.3,3.3,1.7,1.5,2.7,1.8,2.8
1987,Male,7.0,2.0,1.1,1.2,1.7,1.1,1.7
1987,Female,6.2,2.3,0.9,0.6,0.6,0.7,1.8
1987,Both sexes,6.6,2.1,1.1,1.0,1.4,1.0,1.7
1988,Male,5.9,2.0,0.8,0.9,1.0,0.6,1.4
1988,Female,5.5,1.8,0.8,0.4,[*7],[*7],1.4
1988,Both sexes,5.7,1.9,0.8,0.7,0.8,0.6,1.4
1989,Male,4.8,1.7,0.6,0.6,0.8,0.4,1.1
1989,Female,4.0,1.4,0.6,0.4,[*7],[*7],1.1
1989,Both sexes,4.4,1.6,0.6,0.5,0.7,0.4,1.1
1990,Male,6.4,1.9,0.7,0.9,1.2,0.6,1.3
1990,Female,6.0,1.7,0.8,0.5,[*7],[*7],1.3
1990,Both sexes,6.2,1.8,0.7,0.8,1.0,0.5,1.3
1991,Male,8.6,2.6,1.2,1.5,1.8,0.7,1.9
1991,Female,7.5,1.9,1.0,0.9,0.5,[*7],1.6
1991,Both sexes,8.1,2.3,1.1,1.3,1.5,0.6,1.8
1992,Male,6.7,3.0,1.4,1.5,1.9,0.8,2.0
1992,Female,6.5,2.4,1.4,1.0,1.0,0.9,1.9
1992,Both sexes,6.6,2.7,1.4,1.3,1.7,0.8,2.0
1993,Male,8.5,2.9,1.3,1.4,2.0,1.3,2.0
1993,Female,7.5,2.5,1.3,1.0,1.4,[*7],1.9
1993,Both sexes,8.1,2.7,1.3,1.3,1.8,1.2,2.0
1994,Male,8.8,3.1,1.5,1.4,2.1,1.1,2.1
1994,Female,8.2,1.9,1.1,1.4,0.8,[*7],1.7
1994,Both sexes,8.5,2.5,1.3,1.4,1.8,1.0,1.9
1995,Male,12.5,4.7,2.5,2.7,3.4,1.9,3.4
1995,Female,12.8,3.3,1.9,2.7,2.3,1.1,2.9
1995,Both sexes,12.7,4.0,2.3,2.7,3.2,1.7,3.2
1996,Male,12.6,4.4,2.2,2.4,3.1,1.2,3.1
1996,Female,12.3,2.8,1.5,1.7,1.3,[*7],2.3
1996,Both sexes,12.5,3.6,1.9,2.2,2.7,1.1,2.8
1997,Male,9.4,3.3,1.7,1.8,2.5,1.0,2.3
1997,Female,10.9,2.2,1.5,1.6,1.5,[*7],2.0
1997,Both sexes,10.0,2.8,1.6,1.7,2.2,1.0,2.2
1998,Male,20.5,6.9,3.8,4.3,5.5,2.4,5.2
1998,Female,20.3,4.5,2.5,3.5,3.6,1.5,4.0
1998,Both sexes,20.4,5.7,3.3,4.0,5.0,2.3,4.7
1999,Male,27.6,9.6,5.1,6.0,8.1,3.9,7.2
1999,Female,25.8,5.5,3.2,4.2,5.0,1.7,4.9
1999,Both sexes,26.8,7.5,4.3,5.3,7.2,3.5,6.2
2000,Male,23.9,6.8,3.7,4.8,7.1,3.3,5.6
2000,Female,23.4,4.8,2.7,3.5,3.3,1.3,4.1
2000,Both sexes,23.7,5.8,3.2,4.3,6.0,2.9,4.9
2001,Male,25.4,7.8,4.3,5.4,6.3,2.9,6.0
2001,Female,21.4,4.6,2.6,3.4,3.3,1.7,3.9
2001,Both sexes,23.5,6.2,3.5,4.6,5.4,2.7,5.1
2002,Male,34.2,10.5,6.4,7.1,9.1,5.5,8.4
2002,Female,26.5,6.1,4.4,6.0,6.5,2.9,6.0
2002,Both sexes,30.6,8.2,5.4,6.7,8.2,5.0,7.3
2003,Male,32.7,11.5,7.1,8.0,10.6,5.1,9.3
2003,Female,27.3,6.1,4.9,6.4,6.8,2.4,6.3
2003,Both sexes,30.2,8.7,6.0,7.4,9.3,4.6,7.9
2004,Male,29.0,9.1,5.6,6.7,9.3,6.5,7.8
2004,Female,22.6,4.8,4.1,6.1,7.4,3.1,5.6
2004,Both sexes,26.0,6.9,4.9,6.5,8.7,5.9,6.8
2005,Male,24.2,8.2,4.6,5.7,7.7,4.3,6.5
2005,Female,19.0,4.4,3.1,4.6,5.5,2.4,4.4
2005,Both sexes,21.9,6.2,3.8,5.3,6.9,3.9,5.6
2006,Male,24.8,7.3,4.2,4.7,6.3,3.0,5.7
2006,Female,18.6,4.1,2.7,3.6,4.1,[*7],3.8
2006,Both sexes,21.9,5.6,3.4,4.3,5.5,2.6,4.8
2007,Male,20.7,6.0,3.4,3.7,4.9,2.8,4.6
2007,Female,18.7,3.5,2.4,3.1,4.0,1.5,3.4
2007,Both sexes,19.8,4.6,2.9,3.5,4.6,2.5,4.0
2008,Male,18.1,5.8,2.7,3.3,4.3,2.2,4.0
2008,Female,13.7,3.6,2.1,2.9,2.7,0.9,2.9
2008,Both sexes,16.0,4.6,2.4,3.1,3.7,1.9,3.5
2009,Male,23.8,9.3,4.4,5.1,6.1,3.2,6.1
2009,Female,19.5,5.4,3.4,4.1,3.9,2.3,4.3
2009,Both sexes,21.8,7.2,3.9,4.6,5.3,3.0,5.3
2010,Male,22.9,8.2,3.6,4.0,4.9,3.2,5.1
2010,Female,18.2,5.1,2.6,2.9,3.1,1.4,3.5
2010,Both sexes,20.8,6.6,3.1,3.5,4.2,2.8,4.3
2011,Male,17.9,6.7,3.1,3.0,3.9,2.0,4.0
2011,Female,13.6,4.1,2.0,2.5,2.2,2.0,2.8
2011,Both sexes,15.8,5.3,2.5,2.7,3.3,2.0,3.4
2012,Male,15.5,6.6,2.9,3.0,3.4,2.2,3.8
2012,Female,11.9,4.2,1.9,2.5,2.3,1.4,2.8
2012,Both sexes,13.8,5.3,2.4,2.8,2.9,2.0,3.3
2013,Male,17.6,6.8,2.5,3.1,3.4,2.3,3.8
2013,Female,11.3,4.5,2.1,2.6,2.6,2.1,3.0
2013,Both sexes,14.5,5.6,2.3,2.9,3.1,2.3,3.4
2014,Male,13.3,6.4,2.4,2.8,3.1,3.1,3.6
2014,Female,11.8,4.5,2.0,2.7,2.8,2.3,3.0
2014,Both sexes,12.5,5.4,2.2,2.7,3.0,2.8,3.3
2015,Male,15.6,6.5,2.2,2.8,2.8,2.8,3.4
2015,Female,13.0,5.3,2.0,2.8,2.9,1.9,3.2
2015,Both sexes,14.3,5.9,2.1,2.8,2.8,2.5,3.3
2016,Male,15.8,6.9,2.6,2.9,3.2,2.3,3.7
2016,Female,11.5,5.0,2.0,2.8,2.8,2.0,3.1
2016,Both sexes,13.8,5.9,2.3,2.8,3.1,2.2,3.4
2017,Male,12.3,6.5,2.4,2.6,3.0,2.4,3.4
2017,Female,10.0,4.9,2.0,2.4,2.6,2.0,2.9
2017,Both sexes,11.1,5.7,2.2,2.5,2.9,2.3,3.1
2018,Male,11.4,6.5,2.3,2.5,2.8,2.1,3.2
2018,Female,9.2,4.5,1.7,2.0,2.1,1.6,2.4
2018,Both sexes,10.3,5.5,1.9,2.2,2.5,1.9,2.8
2019,Male,11.9,6.8,2.6,2.7,3.3,2.6,3.5
2019,Female,8.1,4.1,1.7,1.9,2.0,1.8,2.3
2019,Both sexes,10.1,5.4,2.1,2.3,2.7,2.3,2.9
2020,Male,22.7,11.7,5.1,5.5,7.2,5.6,6.9
2020,Female,15.2,8.1,3.5,3.9,4.6,4.2,4.7
2020,Both sexes,19.0,9.8,4.2,4.7,6.0,5.1,5.8
2021,Male,19.2,9.8,4.8,5.2,6.4,5.1,6.1
2021,Female,12.3,6.6,3.2,3.6,4.6,3.7,4.2
2021,Both sexes,15.6,8.1,3.9,4.3,5.5,4.6,5.2
8/1981 - 10/1981,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.7
9/1981 - 11/1981,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.5
10/1981 - 12/1981,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.1
11/1981 - 1/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.0
12/1981 - 2/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.0
1/1982 - 3/1982,Male,9.0,4.0,2.6,2.5,4.4,3.0,3.7
1/1982 - 3/1982,Female,4.7,2.5,1.8,2.2,1.9,[*7],2.5
1/1982 - 3/1982,Both sexes,7.0,3.4,2.4,2.4,3.7,2.5,3.3
2/1982 - 4/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.2
3/1982 - 5/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.1
4/1982 - 6/1982,Male,9.4,3.7,1.9,3.3,3.5,2.1,3.5
4/1982 - 6/1982,Female,7.3,2.9,1.9,1.0,1.3,[*7],2.7
4/1982 - 6/1982,Both sexes,8.4,3.4,1.9,2.6,2.9,1.8,3.2
5/1982 - 7/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.4
6/1982 - 8/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.8
7/1982 - 9/1982,Male,11.6,4.5,2.2,2.9,4.2,2.8,4.0
7/1982 - 9/1982,Female,10.1,4.1,2.6,2.7,1.5,[*7],3.9
7/1982 - 9/1982,Both sexes,10.9,4.3,2.3,2.9,3.4,2.4,4.0
8/1982 - 10/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.2
9/1982 - 11/1982,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.3
10/1982 - 12/1982,Male,12.4,4.9,3.0,3.5,5.2,3.1,4.6
10/1982 - 12/1982,Female,8.7,3.6,2.1,1.5,1.6,[*7],3.2
10/1982 - 12/1982,Both sexes,10.7,4.3,2.7,2.9,4.3,2.4,4.1
11/1982 - 1/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.4
12/1982 - 2/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.5
1/1983 - 3/1983,Male,12.1,6.3,3.9,5.0,6.7,5.0,5.8
1/1983 - 3/1983,Female,9.8,3.3,3.9,2.9,2.3,2.0,3.8
1/1983 - 3/1983,Both sexes,11.0,5.0,3.9,4.4,5.5,4.0,5.1
2/1983 - 4/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,5.1
3/1983 - 5/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.9
4/1983 - 6/1983,Male,13.3,5.4,3.6,4.0,5.0,3.9,5.0
4/1983 - 6/1983,Female,10.0,3.4,1.9,1.6,2.1,2.3,3.3
4/1983 - 6/1983,Both sexes,11.8,4.5,3.1,3.3,4.3,3.4,4.4
5/1983 - 7/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.0
6/1983 - 8/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.9
7/1983 - 9/1983,Male,11.2,5.2,2.3,3.0,4.6,4.0,4.4
7/1983 - 9/1983,Female,10.8,3.7,2.2,2.5,2.3,[*7],3.7
7/1983 - 9/1983,Both sexes,11.0,4.5,2.3,2.8,3.9,3.0,4.1
8/1983 - 10/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.5
9/1983 - 11/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.5
10/1983 - 12/1983,Male,10.1,5.4,3.1,3.7,5.9,4.3,4.8
10/1983 - 12/1983,Female,10.9,3.6,1.7,1.5,1.9,[*7],3.4
10/1983 - 12/1983,Both sexes,10.5,4.6,2.6,3.0,4.8,3.3,4.3
11/1983 - 1/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.8
12/1983 - 2/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.0
1/1984 - 3/1984,Male,9.7,4.4,3.1,3.6,4.4,3.2,4.1
1/1984 - 3/1984,Female,11.7,3.4,2.8,3.1,1.8,2.4,3.7
1/1984 - 3/1984,Both sexes,10.6,4.0,3.0,3.5,3.7,3.0,4.0
2/1984 - 4/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.9
3/1984 - 5/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.6
4/1984 - 6/1984,Male,12.7,4.0,2.4,3.4,4.5,2.7,3.9
4/1984 - 6/1984,Female,9.4,3.6,1.4,1.9,1.2,1.8,3.0
4/1984 - 6/1984,Both sexes,11.2,3.8,2.1,2.9,3.6,2.4,3.6
5/1984 - 7/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.7
6/1984 - 8/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.8
7/1984 - 9/1984,Male,12.1,4.6,2.2,2.9,4.6,3.7,4.1
7/1984 - 9/1984,Female,11.8,4.2,1.1,1.4,[*7],[*7],3.5
7/1984 - 9/1984,Both sexes,11.9,4.4,1.8,2.4,3.6,3.0,3.9
8/1984 - 10/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.1
9/1984 - 11/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.2
10/1984 - 12/1984,Male,13.2,5.0,2.6,3.3,5.6,3.7,4.6
10/1984 - 12/1984,Female,11.0,3.5,2.1,1.4,1.5,[*7],3.2
10/1984 - 12/1984,Both sexes,12.1,4.3,2.4,2.7,4.5,2.6,4.1
11/1984 - 1/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.6
12/1984 - 2/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.1
1/1985 - 3/1985,Male,8.1,3.8,2.3,2.5,3.5,4.0,3.4
1/1985 - 3/1985,Female,6.8,2.3,1.6,1.9,1.9,1.2,2.3
1/1985 - 3/1985,Both sexes,7.5,3.1,2.0,2.3,3.0,3.1,3.0
2/1985 - 4/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.0
3/1985 - 5/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.0
4/1985 - 6/1985,Male,9.9,3.7,1.9,2.6,3.0,2.4,3.1
4/1985 - 6/1985,Female,10.9,2.4,1.3,0.7,1.0,0.9,2.3
4/1985 - 6/1985,Both sexes,10.4,3.1,1.7,2.0,2.4,1.9,2.8
5/1985 - 7/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.1
6/1985 - 8/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.5
7/1985 - 9/1985,Male,11.9,4.8,2.2,2.6,3.6,2.7,3.8
7/1985 - 9/1985,Female,14.8,3.4,1.3,1.5,1.1,[*7],3.3
7/1985 - 9/1985,Both sexes,13.3,4.2,1.9,2.3,2.9,2.0,3.6
8/1985 - 10/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.5
9/1985 - 11/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.6
10/1985 - 12/1985,Male,12.7,3.9,2.2,3.1,4.2,2.9,3.7
10/1985 - 12/1985,Female,11.8,3.0,0.8,1.4,0.8,1.0,2.6
10/1985 - 12/1985,Both sexes,12.3,3.5,1.8,2.6,3.3,2.3,3.3
11/1985 - 1/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.1
12/1985 - 2/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.0
1/1986 - 3/1986,Male,11.7,3.3,2.6,2.5,3.8,3.1,3.4
1/1986 - 3/1986,Female,9.2,3.1,1.6,0.8,2.0,[*7],2.7
1/1986 - 3/1986,Both sexes,10.6,3.2,2.3,2.0,3.3,2.3,3.1
2/1986 - 4/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.2
3/1986 - 5/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2.9
4/1986 - 6/1986,Male,13.1,3.7,2.0,1.9,3.1,2.7,3.2
4/1986 - 6/1986,Female,10.4,3.3,1.0,0.8,1.4,1.5,2.7
4/1986 - 6/1986,Both sexes,11.9,3.5,1.6,1.6,2.6,2.3,3.0
5/1986 - 7/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.0
6/1986 - 8/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.2
7/1986 - 9/1986,Male,11.0,3.8,1.9,1.6,3.4,1.4,3.1
7/1986 - 9/1986,Female,11.8,3.3,1.2,1.1,0.9,[*7],2.8
7/1986 - 9/1986,Both sexes,11.4,3.6,1.7,1.4,2.7,1.2,3.0
8/1986 - 10/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2.8
9/1986 - 11/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2.5
10/1986 - 12/1986,Male,7.3,3.0,1.3,1.4,2.4,2.0,2.3
10/1986 - 12/1986,Female,7.3,2.4,0.9,1.0,1.1,[*7],2.0
10/1986 - 12/1986,Both sexes,7.3,2.7,1.1,1.3,2.1,1.5,2.2
11/1986 - 1/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.9
12/1986 - 2/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.9
1/1987 - 3/1987,Male,7.8,2.0,1.4,1.6,2.0,1.6,2.0
1/1987 - 3/1987,Female,6.5,2.4,0.8,0.7,0.6,[*7],1.8
1/1987 - 3/1987,Both sexes,7.2,2.2,1.2,1.3,1.7,1.1,1.9
2/1987 - 4/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.8
3/1987 - 5/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.6
4/1987 - 6/1987,Male,5.0,1.7,0.9,1.0,1.7,0.7,1.5
4/1987 - 6/1987,Female,6.2,2.1,1.0,[*7],[*7],[*7],1.6
4/1987 - 6/1987,Both sexes,5.6,1.9,1.0,0.8,1.4,0.5,1.5
5/1987 - 7/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.6
6/1987 - 8/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.8
7/1987 - 9/1987,Male,7.7,2.4,1.1,0.9,1.3,0.5,1.8
7/1987 - 9/1987,Female,7.0,2.7,0.7,0.7,[*7],[*7],1.9
7/1987 - 9/1987,Both sexes,7.4,2.6,1.0,0.8,1.0,0.6,1.8
8/1987 - 10/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.9
9/1987 - 11/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.9
10/1987 - 12/1987,Male,7.2,1.8,1.1,1.1,1.9,1.5,1.7
10/1987 - 12/1987,Female,5.0,1.8,1.3,0.9,0.9,1.7,1.7
10/1987 - 12/1987,Both sexes,6.2,1.8,1.2,1.1,1.6,1.5,1.7
11/1987 - 1/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.6
12/1987 - 2/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.4
1/1988 - 3/1988,Male,5.1,1.8,0.8,1.1,1.2,0.9,1.4
1/1988 - 3/1988,Female,3.7,1.7,0.9,[*7],[*7],[*7],1.3
1/1988 - 3/1988,Both sexes,4.5,1.8,0.9,0.8,0.9,0.9,1.3
2/1988 - 4/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.4
3/1988 - 5/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.4
4/1988 - 6/1988,Male,7.1,2.1,0.9,1.2,1.5,[*7],1.6
4/1988 - 6/1988,Female,5.6,2.0,1.2,0.5,[*7],[*7],1.5
4/1988 - 6/1988,Both sexes,6.5,2.0,1.0,1.0,1.1,[*7],1.6
5/1988 - 7/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.5
6/1988 - 8/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.7
7/1988 - 9/1988,Male,5.8,2.4,0.8,0.7,0.9,0.5,1.5
7/1988 - 9/1988,Female,6.4,2.0,0.6,[*7],[*7],[*7],1.5
7/1988 - 9/1988,Both sexes,6.1,2.2,0.7,0.6,0.8,0.5,1.5
8/1988 - 10/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.4
9/1988 - 11/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.2
10/1988 - 12/1988,Male,5.3,1.7,0.5,0.4,0.6,0.6,1.0
10/1988 - 12/1988,Female,6.3,1.3,0.6,0.4,[*7],[*7],1.2
10/1988 - 12/1988,Both sexes,5.8,1.5,0.5,0.4,0.5,0.6,1.1
11/1988 - 1/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.0
12/1988 - 2/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.9
1/1989 - 3/1989,Male,5.0,1.6,0.4,0.5,1.1,0.6,1.0
1/1989 - 3/1989,Female,3.3,1.3,0.5,[*7],[*7],[*7],0.9
1/1989 - 3/1989,Both sexes,4.2,1.4,0.4,0.5,0.9,0.4,1.0
2/1989 - 4/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.2
3/1989 - 5/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.1
4/1989 - 6/1989,Male,3.3,1.8,0.7,0.7,0.7,0.5,1.1
4/1989 - 6/1989,Female,5.2,1.6,0.6,0.6,[*7],[*7],1.2
4/1989 - 6/1989,Both sexes,4.1,1.7,0.7,0.7,0.6,0.3,1.1
5/1989 - 7/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.0
6/1989 - 8/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.1
7/1989 - 9/1989,Male,5.0,1.9,0.6,0.5,0.8,[*7],1.1
7/1989 - 9/1989,Female,5.0,1.8,0.7,[*7],[*7],[*7],1.3
7/1989 - 9/1989,Both sexes,5.0,1.9,0.6,0.4,0.7,[*7],1.2
8/1989 - 10/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.1
9/1989 - 11/1989,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.1
10/1989 - 12/1989,Male,5.7,1.7,0.6,0.7,0.8,0.5,1.1
10/1989 - 12/1989,Female,2.7,1.1,0.5,0.4,[*7],[*7],0.8
10/1989 - 12/1989,Both sexes,4.4,1.4,0.6,0.6,0.6,0.4,1.0
11/1989 - 1/1990,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.0
12/1989 - 2/1990,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.2
1/1990 - 3/1990,Male,6.2,1.7,0.8,0.9,1.3,0.7,1.3
1/1990 - 3/1990,Female,3.2,1.8,1.0,1.3,[*7],[*7],1.4
1/1990 - 3/1990,Both sexes,4.9,1.7,0.9,1.0,1.1,0.6,1.4
2/1990 - 4/1990,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.5
3/1990 - 5/1990,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.3
4/1990 - 6/1990,Male,6.0,2.1,0.5,0.8,1.2,1.0,1.3
4/1990 - 6/1990,Female,7.6,1.5,0.9,0.4,[*7],[*7],1.3
