Table 11 : Unemployment Rate by Sex and Age,,,,,,,,
4/1999 - 6/1999,Both sexes,27.5,7.5,4.2,5.0,7.2,3.3,6.1
5/1999 - 7/1999,Male,29.2,10.2,5.3,5.7,8.0,3.2,7.3
5/1999 - 7/1999,Female,30.2,5.7,2.9,3.6,4.0,[*7],4.7
5/1999 - 7/1999,Both sexes,29.6,7.9,4.2,4.9,6.9,2.9,6.2
6/1999 - 8/1999,Male,28.6,10.6,5.1,5.6,7.8,3.2,7.3
6/1999 - 8/1999,Female,29.9,6.4,3.2,3.5,4.6,[*7],5.1
6/1999 - 8/1999,Both sexes,29.1,8.5,4.3,4.8,6.8,2.9,6.4
7/1999 - 9/1999,Male,28.0,10.6,5.3,5.8,7.7,2.5,7.3
7/1999 - 9/1999,Female,29.2,6.8,3.1,3.7,4.5,[*7],5.2
7/1999 - 9/1999,Both sexes,28.5,8.6,4.4,5.1,6.8,2.3,6.5
8/1999 - 10/1999,Male,27.9,10.4,5.2,5.8,7.5,3.2,7.2
8/1999 - 10/1999,Female,30.2,6.5,3.3,4.3,5.6,[*7],5.5
8/1999 - 10/1999,Both sexes,29.0,8.4,4.4,5.2,7.0,2.9,6.5
9/1999 - 11/1999,Male,29.0,9.6,5.1,6.1,7.8,3.6,7.2
9/1999 - 11/1999,Female,28.7,6.0,3.3,4.7,6.0,[*7],5.4
9/1999 - 11/1999,Both sexes,28.9,7.7,4.3,5.6,7.3,3.3,6.5
10/1999 - 12/1999,Male,29.7,9.0,4.8,6.0,7.5,4.2,7.0
10/1999 - 12/1999,Female,26.1,5.1,3.3,5.1,6.7,[*7],5.2
10/1999 - 12/1999,Both sexes,28.1,7.0,4.1,5.7,7.3,3.8,6.2
11/1999 - 1/2000,Male,28.1,8.0,4.4,5.8,7.7,4.4,6.6
11/1999 - 1/2000,Female,22.9,4.8,3.1,4.5,5.1,[*7],4.7
11/1999 - 1/2000,Both sexes,25.8,6.4,3.8,5.4,7.0,3.9,5.8
12/1999 - 2/2000,Male,29.6,7.4,4.2,5.9,7.6,4.4,6.4
12/1999 - 2/2000,Female,22.6,4.7,3.1,5.2,4.4,2.3,4.7
12/1999 - 2/2000,Both sexes,26.4,6.0,3.7,5.7,6.7,4.0,5.7
1/2000 - 3/2000,Male,27.5,6.8,4.1,5.5,7.9,4.2,6.1
1/2000 - 3/2000,Female,22.9,4.7,3.2,5.0,3.5,[*7],4.6
1/2000 - 3/2000,Both sexes,25.4,5.7,3.7,5.3,6.6,3.8,5.5
2/2000 - 4/2000,Male,26.2,6.5,3.9,5.4,7.6,4.1,5.9
2/2000 - 4/2000,Female,22.5,4.6,3.2,5.0,4.1,[*7],4.6
2/2000 - 4/2000,Both sexes,24.6,5.5,3.6,5.2,6.6,3.7,5.4
3/2000 - 5/2000,Male,23.3,6.7,3.6,4.8,7.0,3.6,5.5
3/2000 - 5/2000,Female,22.2,4.7,3.0,4.3,3.2,[*7],4.3
3/2000 - 5/2000,Both sexes,22.8,5.7,3.4,4.6,5.9,3.3,5.0
4/2000 - 6/2000,Male,25.6,7.1,3.7,4.8,6.8,3.2,5.6
4/2000 - 6/2000,Female,25.9,4.8,2.6,3.6,3.7,[*7],4.2
4/2000 - 6/2000,Both sexes,25.7,5.9,3.2,4.3,5.9,3.0,5.0
5/2000 - 7/2000,Male,26.2,7.1,3.8,4.7,7.2,2.1,5.6
5/2000 - 7/2000,Female,26.3,5.4,2.5,3.3,3.4,[*7],4.3
5/2000 - 7/2000,Both sexes,26.2,6.2,3.2,4.2,6.1,1.9,5.1
6/2000 - 8/2000,Male,25.3,6.9,3.9,4.5,7.3,2.7,5.6
6/2000 - 8/2000,Female,26.7,6.1,2.4,2.7,3.7,[*7],4.4
6/2000 - 8/2000,Both sexes,26.0,6.5,3.2,3.8,6.2,2.3,5.1
7/2000 - 9/2000,Male,22.2,6.9,3.7,4.4,7.0,2.7,5.4
7/2000 - 9/2000,Female,24.0,6.0,2.6,2.9,3.2,[*7],4.3
7/2000 - 9/2000,Both sexes,23.0,6.4,3.2,3.8,5.9,2.3,4.9
8/2000 - 10/2000,Male,24.5,7.5,3.6,4.2,6.7,3.0,5.4
8/2000 - 10/2000,Female,23.4,5.5,2.4,2.8,3.1,[*7],4.0
8/2000 - 10/2000,Both sexes,24.0,6.4,3.1,3.7,5.6,2.6,4.8
9/2000 - 11/2000,Male,22.9,7.2,3.5,4.1,6.8,2.7,5.3
9/2000 - 11/2000,Female,22.8,4.3,2.3,2.9,3.1,[*7],3.6
9/2000 - 11/2000,Both sexes,22.9,5.7,3.0,3.7,5.7,2.4,4.6
10/2000 - 12/2000,Male,20.4,6.6,3.4,4.4,6.9,2.9,5.2
10/2000 - 12/2000,Female,20.6,3.7,2.2,2.6,3.0,[*7],3.2
10/2000 - 12/2000,Both sexes,20.5,5.1,2.9,3.7,5.6,2.6,4.4
11/2000 - 1/2001,Male,18.0,6.1,3.4,4.2,6.3,2.9,4.9
11/2000 - 1/2001,Female,21.9,3.6,2.4,2.2,2.3,[*7],3.2
11/2000 - 1/2001,Both sexes,19.7,4.8,2.9,3.5,5.1,2.8,4.2
12/2000 - 2/2001,Male,20.3,6.7,3.4,4.7,6.2,2.8,5.2
12/2000 - 2/2001,Female,21.1,3.5,2.2,2.3,2.2,2.6,3.1
12/2000 - 2/2001,Both sexes,20.6,5.1,2.9,3.8,5.0,2.7,4.3
1/2001 - 3/2001,Male,21.4,6.8,3.8,4.7,6.2,2.8,5.3
1/2001 - 3/2001,Female,20.5,3.5,2.2,2.5,2.8,[*7],3.1
1/2001 - 3/2001,Both sexes,21.0,5.1,3.0,3.9,5.2,2.7,4.4
2/2001 - 4/2001,Male,22.2,6.7,4.1,4.9,6.3,2.9,5.5
2/2001 - 4/2001,Female,18.8,3.6,2.0,3.0,3.1,[*7],3.1
2/2001 - 4/2001,Both sexes,20.7,5.1,3.1,4.2,5.3,2.6,4.5
3/2001 - 5/2001,Male,21.6,6.3,4.1,5.0,6.4,3.0,5.4
3/2001 - 5/2001,Female,18.1,3.6,2.2,2.9,2.9,[*7],3.2
3/2001 - 5/2001,Both sexes,20.0,4.9,3.2,4.2,5.3,2.7,4.5
4/2001 - 6/2001,Male,22.7,6.2,3.8,4.9,6.3,2.5,5.3
4/2001 - 6/2001,Female,19.9,3.8,2.5,2.9,2.6,[*7],3.4
4/2001 - 6/2001,Both sexes,21.4,5.0,3.2,4.2,5.1,2.4,4.5
5/2001 - 7/2001,Male,25.8,7.2,3.7,5.1,6.3,2.2,5.5
5/2001 - 7/2001,Female,20.3,4.5,2.5,2.9,2.7,[*7],3.6
5/2001 - 7/2001,Both sexes,23.1,5.8,3.2,4.2,5.1,2.1,4.7
6/2001 - 8/2001,Male,26.1,8.3,3.9,5.2,5.8,2.2,5.8
6/2001 - 8/2001,Female,23.1,5.2,2.5,3.1,3.4,[*7],4.0
6/2001 - 8/2001,Both sexes,24.6,6.7,3.3,4.4,5.1,2.0,5.0
7/2001 - 9/2001,Male,27.3,9.1,4.3,5.7,6.0,2.9,6.3
7/2001 - 9/2001,Female,22.6,5.7,2.4,3.3,3.5,[*7],4.1
7/2001 - 9/2001,Both sexes,25.1,7.4,3.4,4.8,5.2,2.6,5.4
8/2001 - 10/2001,Male,26.9,9.1,4.9,6.0,6.2,3.0,6.6
8/2001 - 10/2001,Female,22.7,5.6,2.7,3.8,4.0,[*7],4.4
8/2001 - 10/2001,Both sexes,24.9,7.3,3.8,5.1,5.6,2.7,5.6
9/2001 - 11/2001,Male,29.8,9.2,5.1,6.3,6.8,3.4,7.0
9/2001 - 11/2001,Female,21.1,5.4,3.0,4.4,4.1,[*7],4.5
9/2001 - 11/2001,Both sexes,25.9,7.2,4.1,5.6,6.0,3.0,5.9
10/2001 - 12/2001,Male,29.4,9.2,5.4,6.5,6.8,3.4,7.1
10/2001 - 12/2001,Female,21.9,5.4,3.4,4.7,4.4,[*7],4.8
10/2001 - 12/2001,Both sexes,25.9,7.2,4.4,5.8,6.1,3.1,6.1
11/2001 - 1/2002,Male,29.0,9.9,5.8,6.6,7.0,4.5,7.4
11/2001 - 1/2002,Female,19.6,5.3,3.6,4.9,4.8,[*7],4.8
11/2001 - 1/2002,Both sexes,24.8,7.5,4.7,6.0,6.3,4.0,6.3
12/2001 - 2/2002,Male,28.9,9.5,6.5,6.8,7.4,4.5,7.7
12/2001 - 2/2002,Female,21.2,5.4,4.1,4.8,5.3,3.2,5.1
12/2001 - 2/2002,Both sexes,25.3,7.4,5.4,6.0,6.7,4.3,6.6
1/2002 - 3/2002,Male,31.7,10.0,6.7,7.1,7.9,5.8,8.1
1/2002 - 3/2002,Female,21.8,5.4,4.1,5.1,5.9,3.4,5.3
1/2002 - 3/2002,Both sexes,27.1,7.6,5.5,6.3,7.2,5.3,6.9
2/2002 - 4/2002,Male,32.4,9.9,6.4,7.4,8.7,5.7,8.2
2/2002 - 4/2002,Female,25.5,5.5,4.4,5.4,6.4,3.3,5.6
2/2002 - 4/2002,Both sexes,29.2,7.6,5.4,6.6,7.9,5.2,7.1
3/2002 - 5/2002,Male,31.8,10.4,6.3,7.7,9.0,6.4,8.4
3/2002 - 5/2002,Female,26.9,5.8,4.4,5.4,6.9,2.7,5.7
3/2002 - 5/2002,Both sexes,29.5,8.0,5.4,6.8,8.3,5.7,7.3
4/2002 - 6/2002,Male,33.0,10.7,6.6,7.9,9.4,6.7,8.7
4/2002 - 6/2002,Female,27.2,6.3,4.4,6.1,6.8,3.2,6.1
4/2002 - 6/2002,Both sexes,30.3,8.4,5.5,7.2,8.5,6.0,7.6
5/2002 - 7/2002,Male,34.9,11.0,6.4,7.9,10.0,5.7,8.9
5/2002 - 7/2002,Female,29.2,7.1,4.4,6.2,6.7,3.0,6.4
5/2002 - 7/2002,Both sexes,32.2,9.0,5.4,7.2,8.9,5.1,7.8
6/2002 - 8/2002,Male,36.8,11.3,6.4,7.2,9.5,4.8,8.7
6/2002 - 8/2002,Female,31.0,7.6,4.1,6.4,7.2,3.4,6.6
6/2002 - 8/2002,Both sexes,34.1,9.4,5.3,6.9,8.7,4.6,7.8
7/2002 - 9/2002,Male,37.3,11.2,5.9,6.8,9.6,4.9,8.5
7/2002 - 9/2002,Female,32.6,7.3,4.1,6.3,6.9,3.2,6.5
7/2002 - 9/2002,Both sexes,35.2,9.2,5.0,6.6,8.7,4.6,7.6
8/2002 - 10/2002,Male,36.2,10.8,6.0,6.6,9.3,5.6,8.3
8/2002 - 10/2002,Female,29.0,6.2,4.3,6.5,6.9,3.1,6.2
8/2002 - 10/2002,Both sexes,32.8,8.4,5.2,6.6,8.5,5.1,7.4
9/2002 - 11/2002,Male,35.8,10.1,5.9,6.4,9.3,5.5,8.0
9/2002 - 11/2002,Female,26.0,5.8,5.0,6.5,6.0,2.9,6.2
9/2002 - 11/2002,Both sexes,31.3,7.9,5.5,6.4,8.2,4.9,7.2
10/2002 - 12/2002,Male,34.4,10.0,6.3,6.7,9.5,4.7,8.2
10/2002 - 12/2002,Female,23.7,5.4,4.9,6.3,6.2,[*7],5.9
10/2002 - 12/2002,Both sexes,29.4,7.6,5.6,6.5,8.4,4.2,7.2
11/2002 - 1/2003,Male,33.2,9.7,6.4,7.0,9.0,4.4,8.1
11/2002 - 1/2003,Female,22.4,5.0,4.6,5.8,5.7,[*7],5.5
11/2002 - 1/2003,Both sexes,28.2,7.3,5.6,6.5,7.9,3.9,7.0
12/2002 - 2/2003,Male,32.8,10.6,6.4,8.0,9.9,4.5,8.7
12/2002 - 2/2003,Female,22.1,5.1,4.3,6.1,5.4,[*7],5.4
12/2002 - 2/2003,Both sexes,27.9,7.8,5.4,7.2,8.4,3.8,7.3
1/2003 - 3/2003,Male,29.9,10.1,6.6,8.2,9.9,4.1,8.7
1/2003 - 3/2003,Female,22.7,5.6,4.8,5.7,6.4,[*7],5.7
1/2003 - 3/2003,Both sexes,26.6,7.8,5.7,7.2,8.7,3.6,7.4
2/2003 - 4/2003,Male,30.7,11.0,7.2,8.5,10.4,4.8,9.2
2/2003 - 4/2003,Female,24.9,6.3,4.9,6.0,6.0,2.6,6.0
2/2003 - 4/2003,Both sexes,28.1,8.6,6.0,7.4,8.9,4.4,7.8
3/2003 - 5/2003,Male,30.8,11.2,7.7,8.9,10.7,5.6,9.6
3/2003 - 5/2003,Female,26.7,6.7,5.0,6.2,6.9,2.9,6.4
3/2003 - 5/2003,Both sexes,29.0,8.9,6.4,7.8,9.5,5.0,8.2
4/2003 - 6/2003,Male,35.3,12.5,8.0,9.2,10.8,5.5,10.1
4/2003 - 6/2003,Female,30.2,6.7,5.1,6.4,6.5,3.9,6.5
4/2003 - 6/2003,Both sexes,33.0,9.5,6.6,8.1,9.4,5.2,8.5
5/2003 - 7/2003,Male,35.6,13.0,7.9,8.8,11.3,5.1,10.2
5/2003 - 7/2003,Female,34.6,7.3,5.2,7.1,7.2,3.8,7.1
5/2003 - 7/2003,Both sexes,35.2,10.1,6.6,8.1,9.9,4.9,8.8
6/2003 - 8/2003,Male,39.3,13.8,7.8,8.1,11.1,4.7,10.1
6/2003 - 8/2003,Female,35.5,7.3,5.2,7.2,6.9,4.5,7.2
6/2003 - 8/2003,Both sexes,37.6,10.4,6.5,7.8,9.7,4.7,8.8
7/2003 - 9/2003,Male,37.1,13.6,7.5,7.7,11.1,4.3,9.8
7/2003 - 9/2003,Female,34.6,7.4,4.6,7.2,6.9,[*7],6.9
7/2003 - 9/2003,Both sexes,36.0,10.4,6.1,7.5,9.7,3.7,8.5
8/2003 - 10/2003,Male,34.5,12.4,7.3,7.8,10.5,4.6,9.4
8/2003 - 10/2003,Female,29.9,6.2,4.8,6.8,6.7,[*7],6.4
8/2003 - 10/2003,Both sexes,32.3,9.3,6.1,7.4,9.3,4.1,8.1
9/2003 - 11/2003,Male,29.7,10.9,6.7,7.4,10.4,6.4,8.8
9/2003 - 11/2003,Female,24.0,5.2,5.1,6.2,7.1,[*7],6.0
9/2003 - 11/2003,Both sexes,27.0,8.0,5.9,6.9,9.3,5.6,7.6
10/2003 - 12/2003,Male,27.8,9.9,6.2,7.0,10.7,6.3,8.3
10/2003 - 12/2003,Female,20.9,4.5,5.2,6.2,7.2,[*7],5.8
10/2003 - 12/2003,Both sexes,24.6,7.1,5.7,6.6,9.6,5.5,7.2
11/2003 - 1/2004,Male,28.9,9.7,5.7,6.8,10.4,6.5,8.1
11/2003 - 1/2004,Female,18.4,4.4,4.6,6.2,7.7,2.6,5.6
11/2003 - 1/2004,Both sexes,24.1,7.0,5.2,6.6,9.5,5.8,7.0
12/2003 - 2/2004,Male,30.3,9.8,5.8,7.1,10.6,5.6,8.2
12/2003 - 2/2004,Female,18.2,4.2,4.2,6.1,7.6,3.0,5.4
12/2003 - 2/2004,Both sexes,24.9,6.9,5.0,6.7,9.6,5.1,7.0
1/2004 - 3/2004,Male,30.8,9.7,5.9,7.4,10.1,7.6,8.4
1/2004 - 3/2004,Female,17.5,4.4,4.5,5.9,8.0,3.0,5.5
1/2004 - 3/2004,Both sexes,24.9,7.0,5.2,6.7,9.4,6.8,7.1
2/2004 - 4/2004,Male,30.8,9.3,5.9,7.1,10.3,7.8,8.2
2/2004 - 4/2004,Female,18.5,4.8,4.4,6.1,7.8,2.4,5.6
2/2004 - 4/2004,Both sexes,25.3,7.0,5.1,6.7,9.5,6.8,7.1
3/2004 - 5/2004,Male,26.5,9.4,5.8,6.9,9.6,7.6,7.9
3/2004 - 5/2004,Female,22.7,4.8,3.9,6.5,7.9,[*7],5.7
3/2004 - 5/2004,Both sexes,24.7,7.0,4.9,6.7,9.0,6.6,6.9
4/2004 - 6/2004,Male,30.4,9.3,5.7,6.7,9.4,6.4,7.8
4/2004 - 6/2004,Female,27.3,4.8,3.7,6.3,7.0,[*7],5.5
4/2004 - 6/2004,Both sexes,29.0,7.0,4.7,6.5,8.6,5.6,6.8
5/2004 - 7/2004,Male,31.7,9.8,5.7,6.7,9.3,6.0,8.0
5/2004 - 7/2004,Female,29.7,5.1,3.9,6.2,7.5,[*7],5.8
5/2004 - 7/2004,Both sexes,30.8,7.3,4.8,6.5,8.7,5.2,7.0
6/2004 - 8/2004,Male,31.3,9.7,5.7,6.6,9.1,5.8,7.9
6/2004 - 8/2004,Female,29.0,5.6,4.2,5.8,6.7,[*7],5.8
6/2004 - 8/2004,Both sexes,30.2,7.6,4.9,6.3,8.3,5.1,7.0
7/2004 - 9/2004,Male,29.5,10.2,5.7,6.7,8.8,5.6,7.9
7/2004 - 9/2004,Female,26.9,5.8,4.1,6.0,6.9,[*7],5.9
7/2004 - 9/2004,Both sexes,28.3,7.9,4.9,6.4,8.2,4.9,7.0
8/2004 - 10/2004,Male,30.0,9.2,5.5,6.8,8.4,6.3,7.6
8/2004 - 10/2004,Female,24.6,5.1,4.0,6.2,6.6,2.9,5.6
8/2004 - 10/2004,Both sexes,27.4,7.1,4.7,6.6,7.8,5.6,6.7
9/2004 - 11/2004,Male,28.8,8.1,5.5,6.6,8.5,6.7,7.4
9/2004 - 11/2004,Female,21.5,4.7,3.9,6.6,7.6,4.3,5.7
9/2004 - 11/2004,Both sexes,25.4,6.4,4.7,6.6,8.2,6.2,6.6
10/2004 - 12/2004,Male,24.7,7.1,5.2,6.1,9.0,6.4,6.9
10/2004 - 12/2004,Female,17.8,4.3,4.1,6.4,7.9,5.7,5.6
10/2004 - 12/2004,Both sexes,21.4,5.6,4.6,6.3,8.6,6.2,6.3
11/2004 - 1/2005,Male,21.2,6.6,5.1,5.8,8.7,5.6,6.6
11/2004 - 1/2005,Female,14.3,4.2,4.0,5.7,7.5,5.3,5.2
11/2004 - 1/2005,Both sexes,17.8,5.4,4.5,5.8,8.3,5.5,6.0
12/2004 - 2/2005,Male,21.7,6.9,5.2,5.9,8.7,5.5,6.7
12/2004 - 2/2005,Female,13.0,4.4,3.7,4.9,7.1,3.9,4.8
12/2004 - 2/2005,Both sexes,17.6,5.6,4.5,5.4,8.2,5.2,5.8
1/2005 - 3/2005,Male,21.8,7.1,5.3,6.0,8.8,5.9,6.8
1/2005 - 3/2005,Female,12.4,4.5,3.3,4.8,7.2,2.5,4.7
1/2005 - 3/2005,Both sexes,17.4,5.7,4.3,5.5,8.2,5.2,5.9
2/2005 - 4/2005,Male,21.5,8.1,5.3,6.3,8.5,5.3,7.0
2/2005 - 4/2005,Female,12.2,4.4,3.0,4.5,7.3,[*7],4.4
2/2005 - 4/2005,Both sexes,17.2,6.2,4.1,5.5,8.1,4.7,5.9
3/2005 - 5/2005,Male,20.7,8.4,4.6,6.2,8.5,4.5,6.8
3/2005 - 5/2005,Female,16.1,4.3,3.0,4.4,6.4,[*7],4.4
3/2005 - 5/2005,Both sexes,18.6,6.3,3.8,5.5,7.8,4.1,5.7
4/2005 - 6/2005,Male,25.2,8.5,4.7,6.0,8.2,4.0,6.8
4/2005 - 6/2005,Female,25.2,4.5,3.1,4.2,5.1,2.7,4.4
4/2005 - 6/2005,Both sexes,25.2,6.4,3.9,5.2,7.1,3.7,5.7
5/2005 - 7/2005,Male,29.0,9.3,4.8,5.8,8.2,4.0,7.0
5/2005 - 7/2005,Female,28.8,4.9,3.4,4.7,4.7,3.4,4.8
5/2005 - 7/2005,Both sexes,28.9,7.0,4.1,5.3,7.0,3.9,6.0
6/2005 - 8/2005,Male,29.5,9.4,4.5,5.7,7.7,3.4,6.9
6/2005 - 8/2005,Female,28.0,5.0,3.2,4.9,5.1,3.7,4.9
6/2005 - 8/2005,Both sexes,28.8,7.1,3.9,5.3,6.8,3.4,6.0
7/2005 - 9/2005,Male,27.2,9.8,3.8,5.6,7.0,3.6,6.5
7/2005 - 9/2005,Female,22.6,4.8,2.9,5.1,5.2,3.6,4.7
7/2005 - 9/2005,Both sexes,25.1,7.2,3.4,5.4,6.4,3.6,5.7
8/2005 - 10/2005,Male,21.7,8.6,3.8,5.3,7.0,3.5,6.1
8/2005 - 10/2005,Female,19.1,4.6,2.8,4.7,5.4,2.5,4.4
8/2005 - 10/2005,Both sexes,20.6,6.5,3.3,5.1,6.5,3.3,5.4
9/2005 - 11/2005,Male,21.4,7.9,4.2,5.4,6.9,4.5,6.1
9/2005 - 11/2005,Female,15.8,4.4,3.0,4.5,4.9,[*7],4.2
9/2005 - 11/2005,Both sexes,19.1,6.1,3.6,5.0,6.2,3.9,5.3
10/2005 - 12/2005,Male,22.4,7.2,4.3,5.3,6.7,3.4,5.9
10/2005 - 12/2005,Female,14.9,3.8,2.9,4.3,4.9,[*7],3.9
10/2005 - 12/2005,Both sexes,19.2,5.4,3.6,4.9,6.1,2.9,5.0
11/2005 - 1/2006,Male,22.7,7.1,4.3,5.2,6.7,3.0,5.8
11/2005 - 1/2006,Female,17.0,3.5,2.6,3.6,4.5,[*7],3.6
11/2005 - 1/2006,Both sexes,20.2,5.2,3.5,4.5,5.9,2.6,4.8
12/2005 - 2/2006,Male,22.8,7.3,4.4,5.4,7.0,2.7,6.0
12/2005 - 2/2006,Female,16.8,3.4,2.5,3.5,5.0,[*7],3.5
12/2005 - 2/2006,Both sexes,20.1,5.2,3.4,4.6,6.3,2.4,4.9
1/2006 - 3/2006,Male,22.3,7.5,4.7,5.6,7.0,3.2,6.1
1/2006 - 3/2006,Female,16.7,3.6,2.8,3.5,4.7,[*7],3.6
1/2006 - 3/2006,Both sexes,19.7,5.4,3.7,4.7,6.2,2.7,5.0
2/2006 - 4/2006,Male,24.8,7.2,4.4,5.3,7.2,4.0,6.1
2/2006 - 4/2006,Female,14.3,3.4,2.6,4.0,5.0,[*7],3.7
2/2006 - 4/2006,Both sexes,20.4,5.2,3.5,4.8,6.4,3.5,5.0
3/2006 - 5/2006,Male,25.7,6.9,4.6,4.8,6.5,3.5,5.7
3/2006 - 5/2006,Female,17.8,3.2,2.9,4.4,4.1,[*7],3.7
3/2006 - 5/2006,Both sexes,22.3,4.9,3.7,4.6,5.7,2.9,4.8
4/2006 - 6/2006,Male,28.8,7.3,4.6,4.7,6.5,3.5,5.9
4/2006 - 6/2006,Female,24.5,3.9,2.5,4.2,4.3,[*7],3.9
4/2006 - 6/2006,Both sexes,26.9,5.5,3.6,4.5,5.8,3.0,5.0
5/2006 - 7/2006,Male,28.3,8.0,4.5,4.7,6.0,3.1,5.9
5/2006 - 7/2006,Female,28.1,5.0,2.8,4.1,4.0,[*7],4.3
5/2006 - 7/2006,Both sexes,28.2,6.4,3.7,4.4,5.3,2.6,5.2
6/2006 - 8/2006,Male,28.1,8.3,4.1,4.5,6.2,3.2,5.9
6/2006 - 8/2006,Female,25.5,5.5,2.8,4.0,4.1,[*7],4.4
6/2006 - 8/2006,Both sexes,26.9,6.8,3.4,4.3,5.4,2.7,5.2
7/2006 - 9/2006,Male,25.3,8.1,3.9,4.2,6.0,2.4,5.5
7/2006 - 9/2006,Female,21.5,5.5,2.7,3.9,3.6,[*7],4.2
7/2006 - 9/2006,Both sexes,23.5,6.7,3.3,4.0,5.1,2.0,4.9
8/2006 - 10/2006,Male,24.6,7.4,3.9,4.2,5.6,2.4,5.3
8/2006 - 10/2006,Female,16.3,4.7,2.7,3.5,3.3,[*7],3.8
8/2006 - 10/2006,Both sexes,20.5,6.0,3.3,3.9,4.8,2.1,4.6
9/2006 - 11/2006,Male,24.4,7.0,3.9,4.2,5.7,2.5,5.2
9/2006 - 11/2006,Female,12.9,4.3,2.4,3.1,3.5,[*7],3.4
9/2006 - 11/2006,Both sexes,18.6,5.6,3.1,3.7,4.9,2.3,4.4
10/2006 - 12/2006,Male,22.6,6.3,3.6,4.4,5.6,3.1,5.1
10/2006 - 12/2006,Female,12.8,3.6,2.5,3.0,3.7,[*7],3.3
10/2006 - 12/2006,Both sexes,17.6,4.9,3.1,3.8,5.0,2.7,4.2
11/2006 - 1/2007,Male,21.2,5.9,3.7,4.3,5.3,2.9,4.8
11/2006 - 1/2007,Female,14.2,3.4,2.3,3.2,4.2,[*7],3.3
11/2006 - 1/2007,Both sexes,17.7,4.6,3.0,3.8,4.9,2.5,4.1
12/2006 - 2/2007,Male,18.7,5.4,3.6,4.4,5.2,2.7,4.7
12/2006 - 2/2007,Female,14.9,3.1,2.3,3.4,4.2,[*7],3.3
12/2006 - 2/2007,Both sexes,16.9,4.1,3.0,4.0,4.8,2.4,4.1
1/2007 - 3/2007,Male,16.9,5.7,3.6,4.6,5.7,3.1,4.9
1/2007 - 3/2007,Female,15.4,3.0,2.5,3.4,4.9,[*7],3.4
1/2007 - 3/2007,Both sexes,16.2,4.3,3.0,4.1,5.4,2.6,4.2
2/2007 - 4/2007,Male,19.6,5.8,3.6,4.5,6.0,3.9,5.0
